feature_x0,feature_x1,target_y
0.427,0.849,0.638
0.118,0.057,0.087
0.268,0.550,0.409
0.770,0.608,0.689
0.833,0.722,0.777
0.580,0.151,0.365
0.052,0.534,0.293
0.449,0.331,0.390
0.319,0.396,0.357
0.413,0.136,0.275
0.513,0.907,0.710
0.362,0.306,0.334
0.290,0.442,0.366
0.479,0.614,0.546
0.139,0.825,0.482
0.654,0.335,0.494
0.199,0.088,0.143
0.476,0.970,0.723
0.647,0.565,0.606
0.607,0.902,0.754
0.346,0.268,0.307
0.040,0.270,0.155
0.127,0.033,0.080
0.914,0.601,0.757
0.451,0.902,0.676
0.850,0.605,0.728
0.412,0.630,0.521
0.402,0.818,0.610
0.399,0.169,0.284
0.323,0.107,0.215
0.831,0.174,0.502
0.042,0.290,0.166
0.480,0.862,0.671
0.238,0.019,0.129
0.296,0.800,0.548
0.963,0.894,0.928
0.768,0.653,0.711
0.153,0.007,0.080
0.309,0.463,0.386
0.412,0.511,0.462
0.777,0.120,0.449
0.107,0.339,0.223
0.096,0.970,0.533
0.628,0.063,0.345
0.565,0.142,0.353
0.476,0.201,0.339
0.416,0.914,0.665
0.585,0.243,0.414
0.996,0.834,0.915
0.284,0.956,0.620
0.255,0.449,0.352
0.067,0.527,0.297
0.062,0.639,0.350
0.883,0.848,0.866
0.925,0.505,0.715
0.033,0.371,0.202
0.676,0.721,0.699
0.680,0.472,0.576
0.943,0.967,0.955
0.227,0.835,0.531
0.059,0.241,0.150
0.595,0.809,0.702
0.665,0.277,0.471
0.952,0.323,0.637
0.276,0.224,0.250
0.886,0.747,0.817
0.983,0.673,0.828
0.073,0.760,0.416
0.600,0.870,0.735
0.555,0.306,0.430
0.285,0.703,0.494
0.470,0.568,0.519
0.014,0.033,0.024
0.137,0.167,0.152
0.839,0.831,0.835
0.675,0.429,0.552
0.875,0.126,0.500
0.652,0.495,0.574
0.974,0.946,0.960
0.601,0.821,0.711
0.175,0.379,0.277
0.554,0.699,0.626
0.575,0.332,0.454
0.835,0.159,0.497
